DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,RESD= Rt,RESM,SP,TENS,,porosity,log rt,calculated log rt,,,
325.9836,20,18.5662,2.126,0.0431657,136.2035,51.9574,0.437591,33.2957,28.9375,51.9666,224.5282,0.524,0.317575758,1.52238815,-2.54891313,,,
326.136,20,18.5426,2.1173,0.0411101,136.6546,52.2821,0.42666,33.4975,29.5203,51.8601,224.7679,0.5327,0.322848485,1.525012396,-2.52030749,,,
326.2884,20,18.5149,2.1063,0.0387086,137.2676,53.0703,0.413991,33.6747,30.1644,51.781,225.0364,0.5437,0.329515152,1.527303735,-2.484800946,,,
326.4408,20,18.4873,2.0952,0.036307,137.8806,53.8584,0.401321,33.8519,30.8086,51.7019,225.3049,0.5548,0.336242424,1.529583049,-2.449692468,,,
326.5932,20,18.4935,2.1029,0.0302058,138.0342,56.7908,0.39608,34.0611,30.8702,51.5715,225.245,0.5471,0.331575758,1.532258669,-2.473971419,,,
326.7456,20,18.5212,2.1224,0.0217546,137.896,61.0853,0.395558,34.2906,30.5617,51.4085,224.9765,0.5276,0.319757576,1.535175084,-2.53701913,,,
326.898,20,18.5489,2.1419,0.0133035,137.7579,65.3797,0.395035,34.5201,30.2532,51.2455,224.7079,0.5081,0.307939394,1.538072045,-2.602441498,,,
327.0504,20,18.6011,2.1614,0.0099009,137.4842,68.9289,0.392492,34.6662,30.0042,51.1348,224.5282,0.4886,0.296121212,1.539906238,-2.670424427,,,
327.2028,20,18.7031,2.1808,0.0167157,136.9365,70.9699,0.385859,34.6437,29.8755,51.1297,224.5282,0.4692,0.284363636,1.539624269,-2.740806264,,,
327.3552,20,18.8051,2.2002,0.0235306,136.3888,73.0109,0.379226,34.6212,29.7469,51.1247,224.5282,0.4498,0.272606061,1.539342117,-2.814160473,,,
327.5076,20,18.9071,2.2181,0.0296157,135.8693,74.7226,0.373205,34.5688,29.6192,51.1199,224.5627,0.4319,0.261757576,1.538684304,-2.884705461,,,
327.66,20,19.0078,2.208,0.0217977,135.8861,70.1603,0.378852,33.9459,29.5083,51.1199,225.254,0.442,0.267878788,1.530787328,-2.8445492,,,
327.8124,20,19.1085,2.1978,0.0139798,135.9029,65.598,0.384498,33.3231,29.3975,51.1199,225.9453,0.4522,0.274060606,1.522745396,-2.804916046,,,
327.9648,20,19.2092,2.1876,0.0061618,135.9197,61.0357,0.390145,32.7002,29.2866,51.1199,226.6365,0.4624,0.280242424,1.514550409,-2.766166976,,,
328.1172,20,19.3319,2.1807,0.0046445,135.9994,63.3053,0.387381,32.2299,28.7187,51.1091,226.7962,0.4693,0.284424242,1.508258958,-2.740436061,,,
328.2696,20,19.4613,2.1748,0.0050195,136.098,67.6267,0.382091,31.8053,28.0134,51.0952,226.7962,0.4752,0.288,1.502499496,-2.71873255,,,
328.422,20,19.5907,2.1689,0.0053944,136.1966,71.9482,0.3768,31.3808,27.3081,51.0812,226.7962,0.4811,0.291575758,1.496664011,-2.69729685,,,
328.5744,20,19.7276,2.1686,0.0050883,135.5407,73.0557,0.370225,30.9733,26.8637,50.9803,226.4587,0.4814,0.291757576,1.490987479,-2.696213934,,,
328.7268,20,19.8723,2.1741,0.004068,134.0938,70.7937,0.362303,30.5836,26.6929,50.7882,225.7674,0.4759,0.288424242,1.485488605,-2.716175458,,,
328.8792,20,20.0169,2.1796,0.0030476,132.6469,68.5317,0.354382,30.1939,26.522,50.5961,225.0762,0.4704,0.285090909,1.479919212,-2.736369025,,,
329.0316,20,20.1422,2.1858,0.0029193,131.6078,66.7557,0.350279,29.9249,26.4432,50.4235,224.5388,0.4642,0.281333333,1.476032708,-2.759417733,,,
329.184,20,20.1937,2.1951,0.0062005,132.1275,66.8376,0.360775,30.1174,26.7163,50.3254,224.5896,0.4549,0.27569697,1.478817477,-2.79457453,,,
329.3364,20,20.2452,2.2043,0.0094818,132.6472,66.9195,0.371272,30.3099,26.9894,50.2273,224.6404,0.4457,0.270121212,1.481584504,-2.830067741,,,
329.4888,20,20.2967,2.2136,0.012763,133.1669,67.0014,0.381768,30.5024,27.2626,50.1293,224.6912,0.4364,0.264484848,1.484334012,-2.86669931,,,
329.6412,20,20.2208,2.2122,0.0175803,124.0677,64.5608,0.380603,31.0527,28.1182,50.1441,225.2883,0.4378,0.265333333,1.492099368,-2.861135249,,,
329.7936,20,20.1349,2.2099,0.0225193,114.2055,61.9201,0.378512,31.6314,29.0199,50.1678,225.9288,0.4401,0.266727273,1.500118414,-2.852032803,,,
329.946,20,20.049,2.2076,0.0274584,104.3434,59.2794,0.376421,32.2102,29.9217,50.1915,226.5692,0.4424,0.268121212,1.507993421,-2.842977804,,,
